id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10676523,HOUSE,HOUSE,Knokke-Heist,West Flanders,8300,475000,residential_sale,3,0,usa_installed,False,False,,,,,137.0,166.0,2.0,False,to_renovate
10675349,HOUSE,HOUSE,Jette,Brussels,1090,569000,residential_sale,4,22,usa_hyper_equipped,,False,True,,True,100.0,246.0,0.0,2.0,False,good
10677849,HOUSE,VILLA,Oudenaarde,East Flanders,9700,569000,residential_sale,3,0,installed,,True,True,,,,300.0,1265.0,4.0,,good
10676820,HOUSE,APARTMENT_BLOCK,Bruxelles,Brussels,1000,580000,residential_sale,5,40,usa_installed,False,False,,,True,35.0,353.0,0.0,2.0,False,good
10677554,HOUSE,MANSION,Overijse,Flemish Brabant,3090,735000,residential_sale,5,43,installed,False,False,True,,True,1900.0,282.0,2533.0,4.0,False,to_renovate
10676953,HOUSE,VILLA,ERTVELDE,East Flanders,9940,850000,residential_sale,5,0,semi_equipped,,True,,,True,1635.0,340.0,2067.0,4.0,,0
10678278,HOUSE,HOUSE,Kraainem,Flemish Brabant,1950,1250000,residential_sale,9,60,installed,,True,True,20.0,True,1400.0,629.0,1900.0,4.0,,good
10586848,HOUSE,HOUSE,Sainte-Ode,Luxembourg,6680,160000,residential_sale,3,0,0,False,False,,,,,224.0,1110.0,4.0,False,to_renovate
10655022,HOUSE,HOUSE,Huy,Liège,4500,105000,residential_sale,1,0,semi_equipped,,True,,,,,45.0,35.0,2.0,,good
10653859,HOUSE,MIXED_USE_BUILDING,Trooz,Liège,4870,119000,residential_sale,3,35,not_installed,False,False,,,True,200.0,284.0,315.0,2.0,False,to_renovate
10499166,HOUSE,APARTMENT_BLOCK,Courcelles,Hainaut,6180,195000,residential_sale,3,0,usa_semi_equipped,False,False,True,25.0,,,150.0,200.0,2.0,False,as_new
10655388,HOUSE,APARTMENT_BLOCK,Braine-l'Alleud,Walloon Brabant,1420,695000,residential_sale,5,0,installed,,True,True,,True,,210.0,215.0,3.0,,as_new
10653536,HOUSE,MANSION,Horebeke,East Flanders,9667,695000,residential_sale,3,0,hyper_equipped,False,False,,,,,523.0,1551.0,4.0,False,good
10653910,HOUSE,HOUSE,Woluwe-Saint-Pierre,Brussels,1150,845000,residential_sale,5,50,installed,False,False,True,15.0,,,210.0,248.0,2.0,False,to_renovate
10653954,HOUSE,HOUSE,Diepenbeek,Limburg,3590,845000,residential_sale,5,40,semi_equipped,,False,True,,,,360.0,9111.0,4.0,,good
10654445,HOUSE,HOUSE,Brugge,West Flanders,8000,845000,residential_sale,5,0,0,,False,True,20.0,True,40.0,385.0,170.0,2.0,,good
10653705,HOUSE,HOUSE,Saint-Josse-ten-Noode,Brussels,1210,849000,residential_sale,7,42,0,False,False,,,,,342.0,210.0,2.0,False,to_renovate
10654687,HOUSE,HOUSE,Drongen,East Flanders,9031,850000,residential_sale,4,0,not_installed,,True,,,,,260.0,1213.0,4.0,,good
10653816,HOUSE,VILLA,Dilbeek,Flemish Brabant,1700,980000,residential_sale,5,60,hyper_equipped,False,False,True,78.0,True,500.0,350.0,1114.0,4.0,False,as_new
10657558,HOUSE,VILLA,Overijse,Flemish Brabant,3090,890000,residential_sale,4,0,usa_hyper_equipped,,False,True,35.0,True,730.0,250.0,840.0,4.0,False,just_renovated
10660060,HOUSE,HOUSE,Aywaille,Liège,4920,219000,residential_sale,2,41,installed,False,False,True,,,,131.0,134.0,2.0,False,good
10658977,APARTMENT,APARTMENT,Ixelles,Brussels,1050,875000,residential_sale,3,50,usa_installed,False,False,,,,,194.0,0.0,,False,as_new
10658910,APARTMENT,APARTMENT,Bruxelles ville,Brussels,1000,1850000,residential_sale,4,0,hyper_equipped,False,True,True,45.0,,,525.0,0.0,3.0,,good
10679185,APARTMENT,FLAT_STUDIO,Liege,Liège,4020,69000,residential_sale,1,0,0,False,False,,,,,37.0,,2.0,False,to_be_done_up
10678720,APARTMENT,APARTMENT,Awans,Liège,4340,224000,residential_sale,1,34,not_installed,,True,True,10.0,,,71.0,0.0,4.0,,0
10678724,APARTMENT,APARTMENT,Awans,Liège,4340,228000,residential_sale,1,34,not_installed,,True,True,10.0,,,71.0,0.0,4.0,,0
10678726,APARTMENT,APARTMENT,Awans,Liège,4340,253000,residential_sale,2,30,not_installed,,True,True,10.0,,,81.0,0.0,4.0,,0
10678722,APARTMENT,APARTMENT,Awans,Liège,4340,261000,residential_sale,2,30,not_installed,,True,True,10.0,,,81.0,0.0,4.0,,0
10678725,APARTMENT,APARTMENT,Awans,Liège,4340,280000,residential_sale,2,38,not_installed,,True,True,15.0,,,88.0,0.0,4.0,,0
10678721,APARTMENT,APARTMENT,Awans,Liège,4340,285000,residential_sale,2,38,not_installed,,True,True,15.0,,,88.0,0.0,4.0,,0
10678723,APARTMENT,APARTMENT,Awans,Liège,4340,304000,residential_sale,2,42,not_installed,,True,True,14.0,,,98.0,0.0,4.0,,0
