id,type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10438467,HOUSE,EXCEPTIONAL_PROPERTY,Luxembourg,Léglise Assenois,6860.0,690000.0,9.0,33.0,1.0,0.0,0.0,1.0,,,,671.0,2803.0,4.0,0.0,as_new
10543537,HOUSE,FARMHOUSE,Namur,WIERDE,5100.0,690000.0,5.0,0.0,0.0,,1.0,1.0,40.0,1.0,19474.0,800.0,19474.0,4.0,,needs renovating
10673476,HOUSE,HOUSE,Brussels,Ixelles,1050.0,690000.0,5.0,0.0,,0.0,0.0,,,1.0,41.0,200.0,1.0,2.0,0.0,needs renovating
10395602,HOUSE,HOUSE,Liège,Modave,4577.0,690000.0,4.0,35.0,1.0,,1.0,1.0,100.0,1.0,3500.0,220.0,4385.0,3.0,,as_new
10567909,HOUSE,VILLA,Hainaut,GRANDMETZ,7900.0,690000.0,4.0,0.0,1.0,,1.0,1.0,,,,360.0,6159.0,4.0,,good
10571663,HOUSE,VILLA,Hainaut,GRANDMETZ,7900.0,690000.0,4.0,0.0,1.0,,1.0,1.0,,,,360.0,6159.0,4.0,,good
10474247,APARTMENT,APARTMENT,West Flanders,Oostende,8400.0,690000.0,3.0,53.0,,,0.0,1.0,16.0,,,150.0,,,0.0,0
10376787,APARTMENT,PENTHOUSE,Brussels,Uccle,1180.0,690000.0,3.0,0.0,1.0,0.0,0.0,,,,,213.0,0.0,2.0,1.0,as_new
10649176,HOUSE,VILLA,Flemish Brabant,Overijse,3090.0,690000.0,5.0,44.0,1.0,0.0,0.0,1.0,60.0,,,264.0,3866.0,4.0,0.0,good
10512793,HOUSE,HOUSE,Walloon Brabant,Rixensart,1330.0,690000.0,5.0,30.0,1.0,0.0,0.0,1.0,85.0,1.0,520.0,237.0,800.0,2.0,0.0,good
10659668,HOUSE,MIXED_USE_BUILDING,East Flanders,Oudenaarde,9700.0,690000.0,4.0,48.0,,0.0,0.0,1.0,,1.0,,715.0,2038.0,4.0,0.0,just_renovated
10631648,HOUSE,VILLA,Hainaut,Chaussée-Notre-Dame-Louvignies,7063.0,690000.0,6.0,67.0,1.0,0.0,1.0,1.0,,1.0,,315.0,1588.0,4.0,1.0,good
10481009,HOUSE,MANSION,West Flanders,Brugge,8000.0,690000.0,3.0,0.0,,,1.0,,,,,315.0,99.0,3.0,,needs renovating
10631618,HOUSE,VILLA,Hainaut,Soignies,7060.0,690000.0,6.0,67.0,1.0,0.0,1.0,1.0,,1.0,,315.0,1588.0,4.0,1.0,good
10631669,HOUSE,VILLA,Hainaut,Enghien,7850.0,690000.0,6.0,67.0,1.0,0.0,1.0,1.0,,1.0,,315.0,1588.0,4.0,1.0,good
10456706,APARTMENT,TRIPLEX,Brussels,Uccle,1180.0,690000.0,4.0,32.0,1.0,0.0,0.0,1.0,15.0,,,202.0,0.0,2.0,0.0,as_new
10648711,HOUSE,HOUSE,East Flanders,Lede,9340.0,695000.0,5.0,67.0,1.0,,0.0,1.0,,,,470.0,3026.0,4.0,1.0,needs renovating
10575656,APARTMENT,APARTMENT,West Flanders,Knokke-Zoute,8300.0,695000.0,2.0,0.0,1.0,,0.0,1.0,,,,85.0,,2.0,0.0,as_new
10625372,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,2.0,0.0,1.0,0.0,0.0,1.0,,,,78.0,,,0.0,as_new
10436020,HOUSE,MIXED_USE_BUILDING,Brussels,Auderghem,1160.0,695000.0,2.0,0.0,1.0,0.0,0.0,1.0,,,,170.0,135.0,2.0,0.0,as_new
10480410,APARTMENT,APARTMENT,West Flanders,Knokke-Heist Knokke,8300.0,695000.0,2.0,0.0,,,0.0,1.0,,,,78.0,,,,as_new
10666433,HOUSE,VILLA,Walloon Brabant,Wavre,1300.0,695000.0,3.0,32.0,1.0,0.0,0.0,1.0,,,,180.0,1398.0,4.0,0.0,as_new
10413384,APARTMENT,GROUND_FLOOR,Antwerp,Kontich,2550.0,695000.0,3.0,0.0,1.0,,0.0,1.0,28.0,1.0,260.0,178.0,,2.0,,good
10303174,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,3.0,0.0,,1.0,0.0,1.0,,,,77.0,,,0.0,0
10593810,APARTMENT,PENTHOUSE,Flemish Brabant,Leuven Heverlee,3001.0,695000.0,3.0,18.0,1.0,,0.0,1.0,48.0,,,175.0,,3.0,,as_new
10666501,HOUSE,EXCEPTIONAL_PROPERTY,Walloon Brabant,Grez-Doiceau,1390.0,695000.0,4.0,53.0,1.0,,1.0,1.0,40.0,1.0,,180.0,1521.0,4.0,,just_renovated
10362967,APARTMENT,APARTMENT,Brussels,Bruxelles,1050.0,695000.0,3.0,42.0,1.0,0.0,0.0,,,,,,0.0,,0.0,good
10170712,APARTMENT,DUPLEX,West Flanders,Knokke,8300.0,695000.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,,,106.0,,2.0,,as_new
10327372,APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,695000.0,3.0,42.0,1.0,0.0,0.0,,,,,,0.0,,0.0,good
10674566,HOUSE,HOUSE,Walloon Brabant,Braine-l'Alleud,1420.0,695000.0,5.0,42.0,,,1.0,1.0,30.0,,,213.0,1553.0,4.0,,needs renovating
10600954,APARTMENT,PENTHOUSE,Brussels,Bruxelles,1000.0,695000.0,2.0,35.0,1.0,1.0,0.0,1.0,7.0,,,160.0,0.0,2.0,0.0,as_new
10667814,HOUSE,HOUSE,Walloon Brabant,Braine-l'Alleud,1420.0,695000.0,6.0,50.0,1.0,,1.0,,,1.0,900.0,300.0,1100.0,4.0,,as_new
10590617,HOUSE,HOUSE,Walloon Brabant,Mont-Saint-Guibert,1435.0,695000.0,7.0,32.0,1.0,0.0,0.0,1.0,25.0,1.0,1644.0,276.0,1644.0,4.0,0.0,good
10561315,HOUSE,HOUSE,Flemish Brabant,Dworp,1653.0,695000.0,5.0,48.0,0.0,,1.0,,,,,253.0,0.0,4.0,,needs renovating
10580144,HOUSE,HOUSE,Flemish Brabant,Kraainem,1950.0,695000.0,4.0,28.0,1.0,0.0,0.0,1.0,42.0,1.0,62.0,259.0,173.0,2.0,0.0,as_new
10406251,HOUSE,MIXED_USE_BUILDING,Walloon Brabant,BRAINE-LE-CHÂTEAU,1440.0,695000.0,5.0,30.0,0.0,,1.0,,,1.0,275.0,450.0,650.0,3.0,,needs renovating
10674698,HOUSE,HOUSE,Walloon Brabant,BONLEZ,1325.0,695000.0,3.0,0.0,1.0,,1.0,,,1.0,,247.0,1120.0,,,0
10676532,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,,,77.0,,2.0,0.0,just_renovated
10498305,HOUSE,VILLA,Walloon Brabant,Grez-Doiceau,1390.0,695000.0,4.0,50.0,1.0,0.0,0.0,1.0,213.0,1.0,725.0,220.0,815.0,3.0,0.0,just_renovated
10675773,APARTMENT,DUPLEX,Antwerp,Antwerp,2018.0,695000.0,3.0,0.0,1.0,0.0,0.0,1.0,80.0,,,125.0,,2.0,0.0,just_renovated
10585682,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,,,,56.0,,2.0,0.0,as_new
10665194,HOUSE,HOUSE,Brussels,Woluwe-Saint-Lambert,1200.0,695000.0,3.0,60.0,1.0,,0.0,1.0,15.0,1.0,95.0,170.0,181.0,2.0,0.0,as_new
10587549,HOUSE,APARTMENT_BLOCK,Liège,Chênée,4032.0,695000.0,4.0,27.0,,,1.0,1.0,,,,262.0,760.0,2.0,,needs renovating
10624305,HOUSE,HOUSE,Antwerp,Antwerp,2100.0,695000.0,3.0,0.0,1.0,,1.0,,,1.0,60.0,228.0,160.0,2.0,,good
9617516,HOUSE,MIXED_USE_BUILDING,Brussels,Saint-Gilles,1060.0,695000.0,5.0,24.0,1.0,0.0,0.0,,,1.0,8.0,256.0,256.0,2.0,0.0,good
9618806,HOUSE,HOUSE,Brussels,Saint-Gilles,1060.0,695000.0,5.0,24.0,1.0,0.0,0.0,,,1.0,8.0,256.0,256.0,2.0,0.0,good
10645144,HOUSE,EXCEPTIONAL_PROPERTY,West Flanders,Assebroek,8310.0,695000.0,6.0,58.0,0.0,,0.0,,,,,,2139.0,4.0,,needs renovating
10673753,HOUSE,VILLA,East Flanders,De Pinte,9840.0,695000.0,3.0,0.0,,,0.0,,,,,235.0,854.0,4.0,,good
10610363,HOUSE,VILLA,West Flanders,Koksijde,8670.0,695000.0,5.0,37.0,1.0,1.0,1.0,1.0,30.0,1.0,60.0,183.0,266.0,3.0,,as_new
