id,type_of_property,subtype_of_property,province,locality,postalCode,price,number_of_bedrooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_property_area,total_land_area,number_of_facades,swimming_pool,state_of_the_building
10670184.0,APARTMENT,APARTMENT,Brussels,WOLUWE-SAINT-LAMBERT,1200.0,395000.0,2.0,0.0,1.0,0.0,1.0,1.0,17.0,0.0,0.0,112.0,0.0,2.0,0.0,1
10590740.0,APARTMENT,PENTHOUSE,Liège,Liege,4000.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,148.0,0.0,4.0,0.0,0
10629880.0,HOUSE,VILLA,Hainaut,Manage La Hestre,7170.0,395000.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,279.0,743.0,4.0,0.0,1
10640992.0,HOUSE,HOUSE,East Flanders,Destelbergen,9070.0,395000.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,88.0,203.0,2.0,0.0,1
10611966.0,HOUSE,HOUSE,Walloon Brabant,Waterloo,1410.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,165.0,311.0,2.0,0.0,1
10580400.0,HOUSE,HOUSE,Antwerp,Bornem,2880.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,200.0,399.0,2.0,0.0,1
10541068.0,HOUSE,HOUSE,Brussels,Ganshoren,1083.0,395000.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,130.0,100.0,2.0,0.0,1
10668184.0,HOUSE,HOUSE,East Flanders,ELSEGEM,9790.0,395000.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,192.0,620.0,4.0,0.0,1
10538144.0,HOUSE,HOUSE,Liège,Trois-ponts,4980.0,395000.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,348.0,1102.0,3.0,0.0,1
10334913.0,HOUSE,VILLA,Hainaut,Soignies,7060.0,395000.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,165.0,709.0,4.0,0.0,0
10675459.0,APARTMENT,LOFT,Brussels,Bruxelles,1020.0,395000.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,3.0,0.0,1
10487393.0,HOUSE,COUNTRY_COTTAGE,East Flanders,Ronse,9600.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,147.0,3535.0,4.0,0.0,0
10642461.0,HOUSE,FARMHOUSE,Liège,Herve,4650.0,395000.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,710.0,1012.0,3.0,0.0,0
10645934.0,HOUSE,FARMHOUSE,Liège,Battice,4651.0,395000.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,710.0,1012.0,3.0,0.0,0
10614829.0,HOUSE,VILLA,Namur,HAN-SUR-LESSE,5580.0,395000.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,184.0,1241.0,4.0,0.0,1
10523321.0,HOUSE,HOUSE,Antwerp,Oelegem,2520.0,375000.0,3.0,0.0,1.0,0.0,0.0,1.0,20.0,1.0,170.0,175.0,260.0,2.0,0.0,1
10430518.0,APARTMENT,APARTMENT,Brussels,Ixelles,1050.0,375000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,2.0,0.0,1
10421575.0,HOUSE,HOUSE,Flemish Brabant,Ternat,1740.0,359000.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,180.0,303.0,3.0,0.0,1
10654262.0,HOUSE,HOUSE,Flemish Brabant,Diest,3290.0,359000.0,3.0,0.0,1.0,0.0,1.0,1.0,30.0,1.0,80.0,220.0,216.0,3.0,0.0,1
10659809.0,APARTMENT,APARTMENT,West Flanders,Sint-Andries,8200.0,359000.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0,0.0,0
10552812.0,HOUSE,HOUSE,East Flanders,Eeklo,9900.0,359000.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,163.0,549.0,4.0,0.0,1
10665329.0,APARTMENT,DUPLEX,Brussels,Laeken,1020.0,359000.0,3.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,135.0,0.0,2.0,0.0,1
