type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,310000.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0,1
APARTMENT,APARTMENT,West Flanders,Kortrijk,8500.0,310000.0,2,0,1.0,0.0,1,1.0,0.0,0.0,0.0,108.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,310000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,75.0,0.0,4.0,0,1
APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,310000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,75.0,0.0,4.0,0,1
HOUSE,VILLA,East Flanders,Deinze,9800.0,310000.0,3,0,0.0,0.0,1,1.0,0.0,1.0,0.0,130.0,639.0,4.0,0,0
HOUSE,VILLA,Hainaut,Le Roeulx Gottignies,7070.0,310000.0,3,0,1.0,0.0,0,1.0,0.0,0.0,0.0,156.0,1071.0,4.0,0,1
APARTMENT,APARTMENT,Brussels,Ixelles,1050.0,310000.0,1,0,1.0,1.0,0,1.0,10.0,1.0,40.0,63.0,0.0,2.0,0,1
APARTMENT,APARTMENT,East Flanders,Gent,9000.0,310000.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,93.0,0.0,2.0,0,0
APARTMENT,APARTMENT,West Flanders,Kortrijk,8500.0,310000.0,2,0,1.0,0.0,1,1.0,5.0,0.0,0.0,108.0,0.0,2.0,0,1
HOUSE,HOUSE,Luxembourg,OPONT,6852.0,309900.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,150.0,865.0,4.0,0,0
HOUSE,HOUSE,Liège,Juprelle,4450.0,309000.0,3,0,0.0,0.0,0,1.0,56.0,1.0,1645.0,214.0,1850.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Antwerp,2020.0,319000.0,3,0,1.0,0.0,0,1.0,20.0,1.0,10.0,138.0,75.0,2.0,0,1
HOUSE,HOUSE,Flemish Brabant,Meise,1861.0,325000.0,4,0,0.0,0.0,1,1.0,0.0,1.0,0.0,169.0,183.0,3.0,0,1
HOUSE,HOUSE,West Flanders,De Haan,8420.0,325000.0,2,0,0.0,0.0,0,1.0,0.0,1.0,0.0,123.0,590.0,4.0,0,0
APARTMENT,PENTHOUSE,Brussels,Woluwe-Saint-Lambert,1200.0,325000.0,2,0,0.0,0.0,0,1.0,3.0,0.0,0.0,92.0,0.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Deinze,9800.0,325000.0,2,0,1.0,0.0,0,1.0,30.0,1.0,210.0,128.0,500.0,3.0,0,1
HOUSE,APARTMENT_BLOCK,Luxembourg,Nassogne,6950.0,325000.0,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,235.0,122.0,2.0,0,1
APARTMENT,APARTMENT,West Flanders,Middelkerke,8430.0,325000.0,2,0,1.0,0.0,1,1.0,17.0,0.0,0.0,74.0,0.0,2.0,0,0
HOUSE,APARTMENT_BLOCK,Hainaut,La Louvière Haine-Saint-Pierre,7100.0,325000.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,203.0,400.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Kontich,2550.0,325000.0,2,0,1.0,0.0,1,1.0,0.0,0.0,0.0,175.0,366.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Schaerbeek,1030.0,325000.0,1,0,1.0,1.0,1,1.0,60.0,0.0,0.0,55.0,0.0,2.0,0,1
HOUSE,MIXED_USE_BUILDING,Antwerp,Lier,2500.0,325000.0,3,0,1.0,0.0,0,0.0,0.0,0.0,0.0,190.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Jette,1090.0,325000.0,2,0,1.0,0.0,0,0.0,0.0,0.0,0.0,110.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,325000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,77.0,0.0,2.0,0,1
APARTMENT,DUPLEX,West Flanders,Oostkamp,8020.0,325000.0,3,0,1.0,0.0,0,1.0,0.0,0.0,0.0,133.0,0.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Eeklo,9900.0,329000.0,3,0,1.0,0.0,0,1.0,11.0,0.0,0.0,161.0,161.0,2.0,0,1
HOUSE,HOUSE,Luxembourg,Virton,6760.0,329000.0,4,0,1.0,0.0,1,0.0,0.0,1.0,0.0,256.0,2685.0,4.0,0,1
HOUSE,HOUSE,East Flanders,Ronse,9600.0,329000.0,5,0,1.0,0.0,0,0.0,0.0,1.0,151.0,264.0,500.0,2.0,0,1
HOUSE,HOUSE,Antwerp,SINT-KATELIJNE-WAVER,2860.0,325000.0,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,197.0,1000.0,4.0,0,0
HOUSE,HOUSE,East Flanders,Sint-Gillis-Waas,9170.0,329000.0,5,0,0.0,0.0,1,0.0,0.0,0.0,0.0,173.0,635.0,3.0,0,0
HOUSE,HOUSE,East Flanders,Gent,9040.0,329000.0,3,0,1.0,0.0,1,0.0,0.0,1.0,0.0,124.0,90.0,2.0,0,0
HOUSE,HOUSE,Antwerp,Willebroek,2830.0,329000.0,2,0,0.0,0.0,1,1.0,0.0,1.0,160.0,195.0,245.0,2.0,0,0
HOUSE,MANSION,West Flanders,Kortrijk,8500.0,328000.0,5,0,0.0,0.0,1,0.0,0.0,0.0,0.0,220.0,228.0,2.0,0,0
APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,325000.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Onze-Lieve-Vrouw-Waver,2861.0,325000.0,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,197.0,1000.0,4.0,0,0
HOUSE,HOUSE,Antwerp,Hemiksem,2620.0,329000.0,2,0,1.0,0.0,1,1.0,20.0,0.0,0.0,150.0,363.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Kortrijk,8500.0,325000.0,3,0,1.0,0.0,0,0.0,0.0,1.0,70.0,159.0,238.0,3.0,0,1
APARTMENT,APARTMENT,Brussels,Etterbeek,1040.0,325000.0,1,0,1.0,1.0,0,1.0,4.0,0.0,0.0,55.0,0.0,2.0,0,1
APARTMENT,LOFT,Antwerp,Antwerpen,2140.0,320000.0,2,0,1.0,0.0,0,1.0,12.0,0.0,0.0,110.0,0.0,1.0,0,0
HOUSE,HOUSE,West Flanders,Roeselare,8800.0,320000.0,4,0,1.0,0.0,0,1.0,0.0,0.0,0.0,176.0,299.0,3.0,1,1
HOUSE,HOUSE,Liège,Huy,4500.0,320000.0,3,0,0.0,0.0,1,1.0,10.0,1.0,0.0,180.0,1297.0,4.0,0,0
HOUSE,HOUSE,East Flanders,Oudenaarde,9700.0,320000.0,3,0,0.0,0.0,1,0.0,0.0,1.0,0.0,170.0,1061.0,4.0,0,0
HOUSE,HOUSE,East Flanders,Sleidinge,9940.0,319900.0,3,0,1.0,0.0,0,0.0,0.0,1.0,0.0,175.0,325.0,3.0,0,0
HOUSE,HOUSE,Hainaut,Courcelles,6180.0,320000.0,10,0,0.0,0.0,1,0.0,0.0,1.0,174.0,320.0,430.0,2.0,0,0
HOUSE,VILLA,Hainaut,Le Roeulx,7070.0,319000.0,2,0,1.0,0.0,0,1.0,0.0,0.0,0.0,138.0,885.0,4.0,0,1
HOUSE,HOUSE,Antwerp,Heist-op-den-Berg,2220.0,319000.0,3,0,1.0,0.0,1,0.0,0.0,1.0,0.0,160.0,432.0,3.0,0,0
HOUSE,HOUSE,West Flanders,Ichtegem,8480.0,319000.0,3,0,0.0,0.0,1,1.0,0.0,0.0,0.0,213.0,325.0,2.0,0,1
HOUSE,HOUSE,West Flanders,SINT-ELOOIS-VIJVE,8793.0,319000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,150.0,510.0,0.0,0,0
HOUSE,HOUSE,Liège,Villers-le-Bouillet,4530.0,325000.0,6,0,1.0,0.0,1,1.0,0.0,1.0,0.0,190.0,877.0,4.0,0,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,325000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0,1
HOUSE,MIXED_USE_BUILDING,East Flanders,Ronse,9600.0,325000.0,2,0,1.0,0.0,0,1.0,27.0,0.0,0.0,234.0,133.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Ronse,9600.0,324500.0,4,0,1.0,0.0,1,0.0,0.0,1.0,40.0,200.0,0.0,2.0,0,1
APARTMENT,GROUND_FLOOR,Brussels,Evere,1140.0,322000.0,1,0,1.0,0.0,0,1.0,29.0,0.0,0.0,95.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Evere,1140.0,322000.0,2,0,1.0,0.0,0,1.0,3.0,0.0,0.0,89.0,0.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Ronse,9600.0,320500.0,3,0,1.0,0.0,1,1.0,0.0,0.0,0.0,125.0,234.0,3.0,0,1
APARTMENT,APARTMENT,West Flanders,Middelkerke,8430.0,320000.0,2,0,1.0,0.0,1,0.0,0.0,0.0,0.0,78.0,0.0,2.0,0,1
HOUSE,APARTMENT_BLOCK,Hainaut,Courcelles,6180.0,320000.0,10,0,0.0,0.0,1,0.0,0.0,1.0,174.0,320.0,430.0,2.0,0,0
